#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 11895
numEdges = 76284
usedAlgorithm = NULL
dataSource = citHepPh
END
#################################################################
SECTION2 (Nodes Information)
NodeID Weight Speed MeanSpeed
0 1.000000 0 2.391845
1 1.000000 0 2.391845
2 1.000000 0 2.391845
3 0.680225 1 2.391845
4 0.680225 1 2.391845
5 1.000000 0 2.391845
6 1.000000 0 2.391845
7 1.000000 0 2.391845
8 0.239089 5 2.391845
9 0.497284 2 2.391845
10 1.000000 0 2.391845
11 1.000000 0 2.391845
12 0.680225 1 2.391845
13 1.000000 0 2.391845
14 1.000000 0 2.391845
15 0.133487 8 2.391845
16 1.000000 0 2.391845
17 0.300164 4 2.391845
18 1.000000 0 2.391845
19 0.382713 3 2.391845
20 1.000000 0 2.391845
21 0.194373 6 2.391845
22 0.133487 8 2.391845
23 1.000000 0 2.391845
24 0.680225 1 2.391845
25 1.000000 0 2.391845
26 1.000000 0 2.391845
27 1.000000 0 2.391845
28 1.000000 0 2.391845
29 1.000000 0 2.391845
30 0.160424 7 2.391845
31 0.300164 4 2.391845
32 0.497284 2 2.391845
33 1.000000 0 2.391845
34 1.000000 0 2.391845
35 1.000000 0 2.391845
36 1.000000 0 2.391845
37 0.680225 1 2.391845
38 0.680225 1 2.391845
39 0.497284 2 2.391845
40 1.000000 0 2.391845
41 0.382713 3 2.391845
42 0.497284 2 2.391845
43 0.111823 9 2.391845
44 1.000000 0 2.391845
45 1.000000 0 2.391845
46 1.000000 0 2.391845
47 0.382713 3 2.391845
48 0.680225 1 2.391845
49 0.680225 1 2.391845
50 0.382713 3 2.391845
51 1.000000 0 2.391845
52 0.680225 1 2.391845
53 1.000000 0 2.391845
54 1.000000 0 2.391845
55 1.000000 0 2.391845
56 1.000000 0 2.391845
57 1.000000 0 2.391845
58 0.497284 2 2.391845
59 1.000000 0 2.391845
60 1.000000 0 2.391845
61 1.000000 0 2.391845
62 0.680225 1 2.391845
63 1.000000 0 2.391845
64 1.000000 0 2.391845
65 0.497284 2 2.391845
66 0.680225 1 2.391845
67 1.000000 0 2.391845
68 1.000000 0 2.391845
69 0.111823 9 2.391845
70 0.001832 50 2.391845
71 0.680225 1 2.391845
72 1.000000 0 2.391845
73 0.015063 24 2.391845
74 0.680225 1 2.391845
75 0.497284 2 2.391845
76 0.680225 1 2.391845
77 1.000000 0 2.391845
78 0.680225 1 2.391845
79 0.680225 1 2.391845
80 0.680225 1 2.391845
81 1.000000 0 2.391845
82 1.000000 0 2.391845
83 0.497284 2 2.391845
84 0.680225 1 2.391845
85 0.035622 17 2.391845
86 1.000000 0 2.391845
87 0.239089 5 2.391845
88 0.680225 1 2.391845
89 0.300164 4 2.391845
90 1.000000 0 2.391845
91 0.382713 3 2.391845
92 1.000000 0 2.391845
93 0.680225 1 2.391845
94 0.382713 3 2.391845
95 1.000000 0 2.391845
96 0.680225 1 2.391845
97 0.035622 17 2.391845
98 0.382713 3 2.391845
99 0.497284 2 2.391845
100 0.382713 3 2.391845
101 1.000000 0 2.391845
102 0.680225 1 2.391845
103 0.680225 1 2.391845
104 0.300164 4 2.391845
105 0.081791 11 2.391845
106 1.000000 0 2.391845
107 0.382713 3 2.391845
108 0.497284 2 2.391845
109 0.680225 1 2.391845
110 0.680225 1 2.391845
111 0.035622 17 2.391845
112 0.680225 1 2.391845
113 0.239089 5 2.391845
114 1.000000 0 2.391845
115 1.000000 0 2.391845
116 1.000000 0 2.391845
117 1.000000 0 2.391845
118 0.680225 1 2.391845
119 1.000000 0 2.391845
120 0.497284 2 2.391845
121 1.000000 0 2.391845
122 0.382713 3 2.391845
123 0.300164 4 2.391845
124 1.000000 0 2.391845
125 1.000000 0 2.391845
126 0.382713 3 2.391845
127 1.000000 0 2.391845
128 0.300164 4 2.391845
129 1.000000 0 2.391845
130 1.000000 0 2.391845
131 1.000000 0 2.391845
132 1.000000 0 2.391845
133 1.000000 0 2.391845
134 1.000000 0 2.391845
135 0.060412 13 2.391845
136 0.382713 3 2.391845
137 0.300164 4 2.391845
138 0.194373 6 2.391845
139 1.000000 0 2.391845
140 1.000000 0 2.391845
141 1.000000 0 2.391845
142 0.194373 6 2.391845
143 1.000000 0 2.391845
144 1.000000 0 2.391845
145 0.194373 6 2.391845
146 0.300164 4 2.391845
147 0.009569 29 2.391845
148 0.239089 5 2.391845
149 0.194373 6 2.391845
150 1.000000 0 2.391845
151 0.497284 2 2.391845
152 0.497284 2 2.391845
153 0.133487 8 2.391845
154 0.035622 17 2.391845
155 1.000000 0 2.391845
156 0.497284 2 2.391845
157 1.000000 0 2.391845
158 0.497284 2 2.391845
159 0.027695 19 2.391845
160 0.382713 3 2.391845
161 0.497284 2 2.391845
162 0.069096 12 2.391845
163 1.000000 0 2.391845
164 0.680225 1 2.391845
165 1.000000 0 2.391845
166 0.382713 3 2.391845
167 1.000000 0 2.391845
168 0.497284 2 2.391845
169 1.000000 0 2.391845
170 0.239089 5 2.391845
171 0.031643 18 2.391845
172 1.000000 0 2.391845
173 0.497284 2 2.391845
174 1.000000 0 2.391845
175 1.000000 0 2.391845
176 0.133487 8 2.391845
177 0.680225 1 2.391845
178 0.680225 1 2.391845
179 0.160424 7 2.391845
180 0.680225 1 2.391845
181 0.382713 3 2.391845
182 1.000000 0 2.391845
183 1.000000 0 2.391845
184 1.000000 0 2.391845
185 0.680225 1 2.391845
186 0.382713 3 2.391845
187 1.000000 0 2.391845
188 0.497284 2 2.391845
189 0.382713 3 2.391845
190 1.000000 0 2.391845
191 1.000000 0 2.391845
192 0.300164 4 2.391845
193 1.000000 0 2.391845
194 1.000000 0 2.391845
195 0.194373 6 2.391845
196 0.680225 1 2.391845
197 0.497284 2 2.391845
198 0.680225 1 2.391845
199 0.680225 1 2.391845
200 0.382713 3 2.391845
201 0.497284 2 2.391845
